t,y_t,u_tm1,z_pos_0,z_pos_1,z_pos_2,z_pos_3,z_pos_4,z_pos_5,z_pos_6,z_pos_7,z_pos_8,z_pos_9,z_neg_0,z_neg_1,z_neg_2,z_neg_3,z_neg_4,z_neg_5,z_neg_6,z_neg_7,z_neg_8,z_neg_9
84,12.55110167749779,0.17866334496356928,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
85,12.177938892901865,0.17866342994294296,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
86,11.719833668561952,0.17866420198983968,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
87,11.28407053881885,0.17866442067758723,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
88,10.869559804315823,8.40236136476537,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
89,10.409666184298763,8.402368817171642,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
90,9.972201890512993,8.402370811753995,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
91,9.556072991634847,8.4023717905895,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
92,9.160238944688258,8.402371998273786,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
93,8.78370986112485,8.402374760643731,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
94,8.393507321138845,8.40237607522837,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
95,8.022335188746862,17.378174279640348,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
96,7.669265342777959,17.378174528884053,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
97,7.30220162468176,17.378175249386054,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
98,6.953039836520706,14.587120632113928,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
99,6.62090689354773,14.587120666734497,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
100,6.3049722686614125,22.92777896569698,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
101,6.004445987373489,19.14128600272967,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
102,5.71857655430906,19.14128601639787,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
103,5.7675086841687415,25.424707423012293,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
104,5.814054656661275,24.624688137554,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
105,5.858330633109717,24.624688668479298,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
106,5.900447282896673,24.62468870096184,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
107,5.940509887538523,24.624688718633774,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
108,5.978618723673886,24.624690783961395,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
109,6.01486902122976,24.62469091762798,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
110,6.399555246107518,24.624691822312993,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
111,6.765480112135946,24.624692781904184,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
112,7.1135586399701065,25.424699878119394,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
113,7.33576410573541,24.619703864308836,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
114,7.547132484407025,23.46770452609653,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
115,8.073615269835111,23.46770432863294,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
116,8.426685634085072,22.144132455580127,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
117,8.762536554012105,22.144132417961373,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
118,9.327164693776426,20.43342008712935,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
119,9.833041673451488,20.43342007626523,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
120,10.314246762410782,18.41443636275254,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
121,10.7719832035157,17.221757053079994,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
122,11.207395575650434,15.960701066673861,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
123,11.62157271639842,14.650619067781584,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
124,12.015550204848674,13.341856929019347,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
125,12.390313219751054,12.035959504638868,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
126,12.746798864180649,10.741464723221469,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
127,13.117111943762922,9.546211080231444,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
128,13.437956546244514,8.474947373185493,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
129,13.698206436257713,4.7188094546049495,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
130,13.945763781657012,6.124936033867884,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
131,14.12960652328135,3.4811673286539215,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132,14.30448314712755,3.481168331036371,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
133,14.404084997476676,3.4811677339341687,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
134,14.498829207839604,1.7998293612432446,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
135,14.510179090432546,1.79983064284704,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
136,14.474441307664524,1.7998308898051614,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
137,14.391244536174089,1.7998310460476477,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
138,14.26099055667914,1.7998287149597678,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
139,14.086025872565942,0.9786729010562031,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
140,13.86864282164494,0.9786730292811858,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
141,13.611355062844707,0.9786732192243858,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
142,13.319980809681088,0.17867006481068334,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
143,13.00102012852663,0.1786749894438747,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
144,12.55106413699863,0.17867558181654886,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
145,12.177914840123199,0.17867561920868258,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
146,11.719813752211307,0.17867639425195878,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
147,11.284054557103142,0.17867661376855656,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
148,10.869547565422693,8.402324353103415,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
149,10.409656446238841,8.40233182200209,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
150,9.972194531608242,8.402333808780023,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
151,9.556067895948628,8.402330873437,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
152,9.160236001886743,8.402331082726274,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
153,8.78370896614843,8.402333927664213,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
154,8.393506777339187,8.402335235883873,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
155,8.022334978842135,15.799692550971889,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
156,7.669265449977801,15.799693693553548,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
157,7.302202033833843,15.799696687588721,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
158,6.953040703881714,15.799699843072736,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
159,6.620908196045733,15.799699903683592,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
160,6.304973983217843,21.90994593483537,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
161,6.004448094008927,21.909950373573935,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
162,5.718579033933926,21.909950902947312,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
